PlateID,Num_CIL_images,Num_CIL_wells,Num_CIL_complete wells,Num_CIL_sites,Num_CIL_complete_sites,Num_QC_stats,Num_blurry_sites,Num_saturated_sites,Num_well_profiles
26626,11330,378,377,2266,2266,2266,0,24,378
26640,11520,384,384,2304,2304,2304,0,88,384
26641,11520,384,384,2304,2304,2304,0,90,384
26642,11520,384,384,2304,2304,2304,0,107,384
26643,11520,384,384,2304,2304,2304,0,86,384
26644,11520,384,384,2304,2304,2304,0,163,383
26662,11520,384,384,2304,2304,2304,0,59,384
26663,11520,384,384,2304,2304,2304,0,94,384
26664,11520,384,384,2304,2304,2304,0,173,382
26666,11520,384,384,2304,2304,2304,0,96,384
26668,11520,384,384,2304,2304,2304,0,133,383
26669,11520,384,384,2304,2304,2304,0,111,384
26670,11520,384,384,2304,2304,2304,0,110,383
26671,11520,384,384,2304,2304,2304,0,45,384
26672,11520,384,384,2304,2304,2304,0,35,383
26673,11520,384,384,2304,2304,2304,0,21,384
26674,11520,384,384,2304,2304,2304,0,19,383
26675,11520,384,384,2304,2304,2304,0,17,381
26677,11520,384,384,2304,2304,2304,0,38,383
26678,11520,384,384,2304,2304,2304,0,48,384
26679,11520,384,384,2304,2304,2304,0,53,384
26680,11520,384,384,2304,2304,2304,0,106,382
26681,11520,384,384,2304,2304,2304,0,77,384
26682,11520,384,384,2304,2304,2304,0,97,381
26683,11520,384,384,2304,2304,2304,1,107,383
26684,11520,384,384,2304,2304,2304,6,158,384
26685,11520,384,384,2304,2304,2304,0,83,384
26688,11520,384,384,2304,2304,2304,2,64,384
26695,11520,384,384,2304,2304,2304,0,48,384
26702,11520,384,384,2304,2304,2304,0,109,384
26703,11520,384,384,2304,2304,2304,0,31,384
26705,11520,384,384,2304,2304,2304,0,57,384
26724,11520,384,384,2304,2304,2304,3,40,384
26730,11520,384,384,2304,2304,2304,0,38,384
26739,11520,384,384,2304,2304,2304,0,191,384
26744,11520,384,384,2304,2304,2304,0,61,383
26745,11520,384,384,2304,2304,2304,0,49,384
26748,11520,384,384,2304,2304,2304,0,43,384
26752,11520,384,384,2304,2304,2304,0,43,384
26753,11520,384,384,2304,2304,2304,0,99,384
26765,11520,384,384,2304,2304,2304,0,67,384
26767,11520,384,384,2304,2304,2304,0,204,384
26768,11520,384,384,2304,2304,2304,2,144,384
26771,11520,384,384,2304,2304,2304,0,97,382
26772,11520,384,384,2304,2304,2304,1,53,383
26782,11520,384,384,2304,2304,2304,0,67,383
26783,11520,384,384,2304,2304,2304,0,104,384
26784,11520,384,384,2304,2304,2304,2,173,382
26785,11520,384,384,2304,2304,2304,0,50,384
26786,11520,384,384,2304,2304,2304,0,38,384
26791,11520,384,384,2304,2304,2304,0,104,383
26792,11520,384,384,2304,2304,2304,7,171,384
26794,11520,384,384,2304,2304,2304,0,111,383
26795,11520,384,384,2304,2304,2304,0,169,382
26796,11520,384,384,2304,2304,2304,0,50,384
